text,L1
"While I am planning on taking a trip with my friend, I need to tell anyone about my plans. First, I prepare to something about this trip. Those contain a digital camera, cell phone, a small first-aid kit, a lot of water, and some foods enough 
",Chinese
I didn't study because I failed the test.,Arabic
" Next semester, I'm going to complete my studying at English Language Institute University of Pittsburgh .Within these months I'll try to get the TOEFL and GRE ,I may register in Kaplan for preparation the TOEFL after end of this semester. When I finish and get the exams, I am going to move to Ohio because my university is there. But I might stay in Pittsburgh, if I can get acceptance of Pittsburgh of University because I like and adapt with it. Although, Case Western Reserve University is stronger than University of Pittsburgh, I will try to get admission. I may spend the next summer in my country with my parents, in fact I miss them and they miss me. During my study in the United States I am going to visit many states and entertainment places. I expect I will spend beautiful years in this country.


",Arabic
"My favorite hobby is listening music and taking pictures. That two things make me exciting or
relax. Any time and any where i can enjoy my hobby
. so it's very convenient and friendly. Then also my hobby is useful for explain myself or my condition. So i want to develop my hobby to save my experience by music and picture. I think i will love my hobby more and more. ",Korean
used to be,Chinese
Pittsburgh has a good location,Arabic
"Yes I think that global warming is really a big problem for all people that because of many reasons such as Melting of Antarctica, which will cause a rise in the number of floods in the world, will also cause the disappearance of some of the ozone layer.",Arabic
 In yhis summer i will have so much fun. I have plan going to maiami this summer. I will stay in maiami for 4 days. I am going to swimm. I will go to night clubs. I am going to ride a moterciycle.I will stay in hotel a front of the beach. I am going to get drunk. For suer i will entertanet my self because i love the beach.,Arabic
"I used to live in Korea, and I attended Yong-In University. In those days, I used to play judo with my classmate, and we used to point out mistakes each other. After we finished exercise, we used to have Korean food for a meal. We would not be used to eating American food at all because American food did not make us full. I am currently living in Pittsburgh, and I am attending University of Pittsburgh. There are two problems. First, I do not play judo anymore because I do not have a judo uniform and friends who used to play with me. Second, I am not used to eating American food even though I am living here. In conclusion, I am always trying to put myself into American life as fast as I can. If I put myself into American life enough, I will start exercising again, and I would be used to enjoying American food.",Korean
I can Know meaning of this word form its context.,Chinese
"What I saw? 
1. boat .
2. sailboat
3. parashutes.
4. kite.
5. cooler.
What I hear?
1. pepole.
2. sea birds.
3. waves.
What I smelled?
1. sea smell.
2. seashell.
3. humidity.
4. barbecue.
What I taste?
1. grilled chicken.
2.cold cola.
3. ice cream.
What I touch?
1. sand.
2. beach umbrella.
3. sunscreen.
4. seashell.
 At The Beach 
Going to the beach is one of my favorit activities. Last summer I had a wonderfull journey to the beach. I can not forget waht ever I had seen , tasted , smelled or touched around the sea.The sight was beautiful , there were alot of boats moving here and there.Children walked on the place carrying thei kites , they were trying to follow the parachutes which were so far .The sounds at the beach were very soft , we just heard people talking and laughing , the voices of the seabirds and the seawaves inspired me to relax.I believe that sea has a special smell, and I semelled it, there was little humidity. I touched a lot of things such as sand,seashell and sunscreen. Also, I uesed beach umbrella which was flexible to me. ",Arabic
The scienist create new medicine to reduce human sickness.,Chinese
"I think almost the same. I'm energetic, competitive, a peacemaker and carefully.",Chinese
She is stydying photography.,Korean
may i order some pizza?,Arabic
Riding a bus for free and go to the gym.,Arabic
she began to lose her hearing.,Arabic
I'll clean the apartment quickly,Chinese
school finish,Korean
" There many programs I like to watch, and many programs I don't like to 
watch. First, I like to watch the news. For example, I like to watch weather news because I would like to know how the weather will be on the next day. For instance, if it is rainy or not or if I need an umbrella or not. In addition, I like to watch local news because I need to know what happens in my city. However, I don't like to watch political news because I hate politics. Second, I like to watch comedy programs. For example, I like to watch ""Satureday Night Live"" because some times I need to go a way frome scope of study. Furthermore, I like to watch American shows such as ""lost"" and ""brothers and sisters"". I prefer to watch American shows because they help me to improve my listening and let me know American culture. Moreover, I like to watch sports programs such as American football and soccer games, but I don't prefer to watch basketball or tennis games. Also, I don't like to watch cooking programs. In conclusion, Tv programs are important to me because the programs that I watch teach me new things every day.",Arabic
I can explain it as following: The prophylaxis is better than medication.,Arabic
"When I finish my ELI class, I think I will much more approach my goal.",Chinese
